num_segments,video_duration,total_qoe,avg_qoe_per_segment,total_rebuf_time,rebuf_ratio,viewport_hits,viewport_misses,viewport_hit_rate,total_bits_downloaded,total_mb_downloaded,bandwidth_savings,avg_bandwidth_mbps,approach,user_trace_file,network_trace,video_id
60,60.04,-220.29999999999978,-3.671666666666663,121.0,2.015323117921386,76,0,1.0,7200000000.0,900.0,0.0,14.990006662225184,baseline,Diving-2OzlksZBTiA_0_processed.csv,medium_5mbps,Diving-2OzlksZBTiA
60,60.04,165.275,2.7545833333333336,0.75,0.012491672218520987,50,26,0.6578947368421053,1800000000.0,225.0,0.75,3.747501665556296,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,medium_5mbps,Diving-2OzlksZBTiA
60,60.04,-1381.3000000000015,-23.021666666666693,391.0,6.512325116588941,76,0,1.0,7200000000.0,900.0,0.0,14.990006662225184,baseline,Diving-2OzlksZBTiA_0_processed.csv,low_2mbps,Diving-2OzlksZBTiA
60,60.04,-61.550000000000054,-1.0258333333333343,53.5,0.891072618254497,50,26,0.6578947368421053,1800000000.0,225.0,0.75,3.747501665556296,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,low_2mbps,Diving-2OzlksZBTiA
60,60.04,-66.03750000000004,-1.1006250000000006,85.125,1.417804796802132,76,0,1.0,7200000000.0,900.0,0.0,14.990006662225184,baseline,Diving-2OzlksZBTiA_0_processed.csv,variable,Diving-2OzlksZBTiA
60,60.04,163.125,2.71875,1.25,0.020819453697534976,50,26,0.6578947368421053,1800000000.0,225.0,0.75,3.747501665556296,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,variable,Diving-2OzlksZBTiA
60,60.02,-213853.31811562966,-3564.2219685938276,49803.097236192974,829.7750289269072,85,0,1.0,7200000000.0,900.0,0.0,14.995001666111296,baseline,Diving-2OzlksZBTiA_0_processed.csv,Verizon1,Diving-2OzlksZBTiA
60,60.02,-53167.30452890745,-886.1217421484575,12406.524309048244,206.706502983143,61,24,0.7176470588235294,1800000000.0,225.0,0.75,3.748750416527824,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,Verizon1,Diving-2OzlksZBTiA
60,60.02,-128927.7348688035,-2148.795581146725,30052.96159739611,500.7157880272594,85,0,1.0,7200000000.0,900.0,0.0,14.995001666111296,baseline,Diving-2OzlksZBTiA_0_processed.csv,Verizon2,Diving-2OzlksZBTiA
60,60.02,-31935.90871720087,-532.2651452866811,7468.990399349028,124.44169275823104,61,24,0.7176470588235294,1800000000.0,225.0,0.75,3.748750416527824,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,Verizon2,Diving-2OzlksZBTiA
60,60.02,-2429.1036418361787,-40.485060697269645,634.6752655432974,10.57439629362375,85,0,1.0,7200000000.0,900.0,0.0,14.995001666111296,baseline,Diving-2OzlksZBTiA_0_processed.csv,ATT2,Diving-2OzlksZBTiA
60,60.02,-311.25091045904463,-5.187515174317411,114.41881638582437,1.906344824822132,61,24,0.7176470588235294,1800000000.0,225.0,0.75,3.748750416527824,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,ATT2,Diving-2OzlksZBTiA
